key,category,exerciseName,language_en,name_en,language_fr,name_fr
BANDED_EXERCISES_PULL_DOWN_WHEELCHAIR,BANDED_EXERCISES,PULL_DOWN_WHEELCHAIR,en,Banded Pull-down,fr,Tirage avec élastique
BANDED_EXERCISES_PUSH_UPS,BANDED_EXERCISES,PUSH_UPS,en,Banded Push-ups,fr,Pompes avec élastique
BANDED_EXERCISES_REVERSE_CRUNCH,BANDED_EXERCISES,REVERSE_CRUNCH,en,Banded Reverse Crunch,fr,Crunch inversé avec élastique
BANDED_EXERCISES_ROW,BANDED_EXERCISES,ROW,en,Banded Row,fr,Rowing avec élastique
BANDED_EXERCISES_SHOULDER_ABDUCTION,BANDED_EXERCISES,SHOULDER_ABDUCTION,en,Banded Shoulder Abduction,fr,Abduction d'épaule avec élastique
BANDED_EXERCISES_SHOULDER_EXTENSION,BANDED_EXERCISES,SHOULDER_EXTENSION,en,Banded Shoulder Extension,fr,Extension d'épaule avec élastique
BANDED_EXERCISES_SHOULDER_EXTERNAL_ROTATION,BANDED_EXERCISES,SHOULDER_EXTERNAL_ROTATION,en,Banded Shoulder External Rotation,fr,Rotation externe de l'épaule avec élastique
BANDED_EXERCISES_SHOULDER_FLEXION_TO_90_DEGREES,BANDED_EXERCISES,SHOULDER_FLEXION_TO_90_DEGREES,en,Banded Shoulder Flexion to 90-Degrees,fr,Flexion de l'épaule à 90 degrés avec élastique
BANDED_EXERCISES_SIDE_CURL_WHEELCHAIR,BANDED_EXERCISES,SIDE_CURL_WHEELCHAIR,en,Banded Side Curl,fr,Curl latéral avec élastique
BANDED_EXERCISES_SIDE_PLANK_LEG_LIFTS,BANDED_EXERCISES,SIDE_PLANK_LEG_LIFTS,en,Banded Side Plank Leg Lifts,fr,Lever de jambe en planche latérale avec élastique
BANDED_EXERCISES_SQUAT,BANDED_EXERCISES,SQUAT,en,Banded Squat,fr,Squat avec élastique
